time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1669019944.20878983,0.00316596,0.00164381,-nan,278.00000000,0.00316596,0.000000,0.000000
1669019944.24142981,0.00183178,0.00027799,-nan,483.00000000,0.00049759,0.000000,0.000000
1669019944.27598977,0.00202006,0.00164700,-nan,659.00000000,0.00239664,0.000000,0.000000
1669019944.30862975,0.00191539,0.00097772,-nan,863.00000000,0.00160139,0.000000,0.000000
1669019944.34222984,0.00176600,0.00072663,-nan,990.00000000,0.00116845,0.000000,0.000000
1669019944.37486982,0.00167969,0.00065372,-nan,1179.00000000,0.00124814,0.000000,0.000000
1669019944.40942979,0.00164450,0.00098566,-nan,1336.00000000,0.00143330,0.000000,0.000000
1669019944.44206977,0.00157530,0.00062592,-nan,1508.00000000,0.00109093,0.000000,0.000000
1669019944.47566986,0.00148295,0.00042572,-nan,1628.00000000,0.00074415,0.000000,0.000000
1669019944.50830984,0.00142021,0.00040335,-nan,1806.00000000,0.00085559,0.000000,0.000000
1669019944.54286981,0.00143733,0.00088773,-nan,1884.00000000,0.00160855,0.000000,0.000000
1669019944.57550979,0.00138247,0.00044077,-nan,2031.00000000,0.00077898,0.000000,0.000000
1669019944.60814977,0.00150812,0.00191365,-nan,2163.00000000,0.00301592,0.000000,0.000000
1669019944.64270973,0.00144656,0.00037492,-nan,2260.00000000,0.00064631,0.000000,0.000000
1669019944.67534971,0.00141964,0.00054676,-nan,2380.00000000,0.00104274,0.000000,0.000000
1669019944.70894980,0.00155346,0.00032184,0.00000375,2504.00000000,0.00356077,0.000000,0.000000
1669019944.74158978,0.00154550,0.00016562,0.00000151,2603.00000000,0.00141804,0.000000,0.000000
1669019944.77614975,0.00189145,0.00060491,0.00000669,2668.00000000,0.00777266,0.000000,0.000000
1669019944.80878973,0.00187760,0.00019670,0.00000159,2775.00000000,0.00162823,0.000000,0.000000
1669019944.84142971,0.00188609,0.00025272,0.00000158,2841.00000000,0.00204753,0.000000,0.000000
1669019944.87598968,0.00193102,0.00033646,0.00000281,2963.00000000,0.00282952,0.000000,0.000000
1669019944.90862966,0.00206709,0.00044503,0.00000412,3041.00000000,0.00492469,0.000000,0.000000
1669019944.94222975,0.00212779,0.00073543,0.00000291,3125.00000000,0.00346317,0.000000,0.000000
1669019944.97486973,0.00213797,0.00026668,0.00000161,3061.00000000,0.00237195,0.000000,0.000000
1669019945.00942969,0.00221958,0.00038692,0.00000577,3172.00000000,0.00417832,0.000000,0.000000
1669019945.04206967,0.00226616,0.00033811,0.00000286,3222.00000000,0.00343062,0.000000,0.000000
1669019945.07566977,0.00234244,0.00040026,0.00000400,3302.00000000,0.00432570,0.000000,0.000000
1669019945.10827494,0.00246384,0.00060342,0.00000474,3385.00000000,0.00574165,0.000000,0.000000
1669019945.14283490,0.00250225,0.00026071,0.00000364,3397.00000000,0.00357765,0.000000,0.000000
1669019945.17547488,0.00249172,0.00027791,0.00000193,3471.00000000,0.00218641,0.000000,0.000000
1669019945.20811486,0.00248510,0.00022727,0.00000210,3474.00000000,0.00228642,0.000000,0.000000
1669019945.24267483,0.00247758,0.00018654,0.00000287,3523.00000000,0.00224469,0.000000,0.000000
1669019945.27531505,0.00250196,0.00033405,0.00000218,3566.00000000,0.00328188,0.000000,0.000000
1669019945.30891490,0.00249669,0.00035997,0.00000232,3640.00000000,0.00232295,0.000000,0.000000
1669019945.34155488,0.00249288,0.00022373,0.00000187,3703.00000000,0.00236321,0.000000,0.000000
1669019945.37611485,0.00265935,0.00070740,0.00000887,3775.00000000,0.00848606,0.000000,0.000000
1669019945.40875483,0.00271474,0.00032196,0.00000423,3842.00000000,0.00470860,0.000000,0.000000
1669019945.44235492,0.00270044,0.00025570,0.00000227,3885.00000000,0.00217124,0.000000,0.000000
1669019945.47499490,0.00269225,0.00024896,0.00000169,3890.00000000,0.00238131,0.000000,0.000000
1669019945.50955486,0.00266290,0.00018161,0.00000177,3892.00000000,0.00151798,0.000000,0.000000
1669019945.54219484,0.00268040,0.00023875,0.00000291,3418.00000000,0.00338047,0.000000,0.000000
1669019945.57483506,0.00268478,0.00018585,0.00000230,3473.00000000,0.00286442,0.000000,0.000000
1669019945.60939503,0.00269245,0.00023955,0.00000273,3547.00000000,0.00301462,0.000000,0.000000
1669019945.64203501,0.00269055,0.00017224,0.00000234,3596.00000000,0.00260873,0.000000,0.000000
1669019945.67563486,0.00267239,0.00014687,0.00000200,3649.00000000,0.00187339,0.000000,0.000000
1669019945.70827484,0.00265617,0.00016497,0.00000158,3700.00000000,0.00192626,0.000000,0.000000
1669019945.74283504,0.00263846,0.00013570,0.00000210,3758.00000000,0.00182398,0.000000,0.000000
1669019945.77547503,0.00266049,0.00030774,0.00000254,3797.00000000,0.00369586,0.000000,0.000000
1669019945.80811501,0.00266247,0.00020915,0.00000312,3875.00000000,0.00275718,0.000000,0.000000
1669019945.84267497,0.00266724,0.00023438,0.00000230,3934.00000000,0.00290124,0.000000,0.000000
1669019945.87531495,0.00269981,0.00038907,0.00000504,4023.00000000,0.00432825,0.000000,0.000000
1669019945.90891504,0.00271114,0.00021744,0.00000295,4086.00000000,0.00328904,0.000000,0.000000
1669019945.94155502,0.00269622,0.00014516,0.00000212,4133.00000000,0.00192027,0.000000,0.000000
1669019945.97611499,0.00269297,0.00019607,0.00000219,4177.00000000,0.00252086,0.000000,0.000000
1669019946.00875497,0.00267802,0.00016305,0.00000170,4230.00000000,0.00187039,0.000000,0.000000
1669019946.04235506,0.00278420,0.00054382,0.00000902,4292.00000000,0.00862438,0.000000,0.000000
1669019946.07499504,0.00281492,0.00032858,0.00000356,4330.00000000,0.00453520,0.000000,0.000000
1669019946.10955691,0.00280898,0.00020669,0.00000247,4415.00000000,0.00247061,0.000000,0.000000
1669019946.14219689,0.00280090,0.00018651,0.00000206,4456.00000000,0.00233177,0.000000,0.000000
1669019946.17483687,0.00277984,0.00014223,0.00000172,4506.00000000,0.00153782,0.000000,0.000000
1669019946.20939708,0.00279688,0.00032579,0.00000300,4547.00000000,0.00381899,0.000000,0.000000
1669019946.24203706,0.00280826,0.00026788,0.00000424,4595.00000000,0.00350220,0.000000,0.000000
1669019946.27563691,0.00286733,0.00047667,0.00000531,4596.00000000,0.00653004,0.000000,0.000000
1669019946.30827689,0.00291415,0.00039818,0.00000629,4628.00000000,0.00586360,0.000000,0.000000
1669019946.34283710,0.00291306,0.00020411,0.00000243,4669.00000000,0.00284362,0.000000,0.000000
1669019946.37547708,0.00289588,0.00013904,0.00000184,4686.00000000,0.00177903,0.000000,0.000000
1669019946.40811706,0.00291563,0.00028279,0.00000408,4733.00000000,0.00421892,0.000000,0.000000
1669019946.44267702,0.00289779,0.00014076,0.00000168,4754.00000000,0.00170272,0.000000,0.000000
1669019946.47531700,0.00290847,0.00023078,0.00000404,4790.00000000,0.00363434,0.000000,0.000000
1669019946.50891709,0.00291146,0.00027433,0.00000261,4810.00000000,0.00311783,0.000000,0.000000
1669019946.54155707,0.00296146,0.00078219,0.00000658,4844.00000000,0.00646204,0.000000,0.000000
1669019946.57611704,0.00298806,0.00035415,0.00000361,4863.00000000,0.00487616,0.000000,0.000000
1669019946.60875702,0.00297819,0.00019689,0.00000235,4922.00000000,0.00226755,0.000000,0.000000
1669019946.64235711,0.00296516,0.00017170,0.00000175,4955.00000000,0.00201385,0.000000,0.000000
1669019946.67499709,0.00298019,0.00038382,0.00000475,4987.00000000,0.00409275,0.000000,0.000000
1669019946.70955706,0.00297898,0.00019121,0.00000259,5017.00000000,0.00288832,0.000000,0.000000
1669019946.74219704,0.00298173,0.00026546,0.00000313,5030.00000000,0.00319080,0.000000,0.000000
1669019946.77483702,0.00296745,0.00016811,0.00000177,5047.00000000,0.00186772,0.000000,0.000000
1669019946.80939698,0.00295811,0.00018055,0.00000200,5071.00000000,0.00222975,0.000000,0.000000
1669019946.84203696,0.00294076,0.00013260,0.00000160,5076.00000000,0.00156999,0.000000,0.000000
1669019946.87563705,0.00292983,0.00017620,0.00000185,5111.00000000,0.00205546,0.000000,0.000000
1669019946.90827703,0.00294270,0.00027460,0.00000393,5156.00000000,0.00398516,0.000000,0.000000
1669019946.94283700,0.00295181,0.00028411,0.00000365,5178.00000000,0.00369907,0.000000,0.000000
1669019946.97547698,0.00294645,0.00019773,0.00000307,5199.00000000,0.00250160,0.000000,0.000000
1669019947.00811696,0.00302157,0.00149074,0.00000676,5221.00000000,0.00933165,0.000000,0.000000
1669019947.04267693,0.00301084,0.00014419,0.00000238,5242.00000000,0.00209868,0.000000,0.000000
1669019947.07531691,0.00300292,0.00022208,0.00000179,5266.00000000,0.00232132,0.000000,0.000000
1669019947.10889125,0.00299451,0.00015426,0.00000240,5266.00000000,0.00226332,0.000000,0.000000
1669019947.14153123,0.00298676,0.00015753,0.00000210,5269.00000000,0.00230474,0.000000,0.000000
1669019947.17609119,0.00297960,0.00017437,0.00000300,5301.00000000,0.00234200,0.000000,0.000000
1669019947.20873117,0.00298773,0.00027104,0.00000333,5310.00000000,0.00371937,0.000000,0.000000
1669019947.24233103,0.00298368,0.00021847,0.00000240,5307.00000000,0.00261546,0.000000,0.000000
1669019947.27497125,0.00297642,0.00018838,0.00000251,5324.00000000,0.00230871,0.000000,0.000000
1669019947.30953121,0.00297149,0.00022488,0.00000188,5343.00000000,0.00251264,0.000000,0.000000
1669019947.34217119,0.00296549,0.00022217,0.00000281,5352.00000000,0.00240150,0.000000,0.000000
1669019947.37481117,0.00296888,0.00027648,0.00000269,5298.00000000,0.00329054,0.000000,0.000000
1669019947.40937114,0.00295885,0.00015127,0.00000183,5255.00000000,0.00199622,0.000000,0.000000
1669019947.44201112,0.00295813,0.00016470,0.00000287,5262.00000000,0.00288807,0.000000,0.000000
1669019947.47561121,0.00296384,0.00026861,0.00000455,5280.00000000,0.00352423,0.000000,0.000000
1669019947.50825119,0.00299479,0.00046806,0.00000489,5297.00000000,0.00605882,0.000000,0.000000
1669019947.54281116,0.00298223,0.00009379,0.00000232,5288.00000000,0.00172603,0.000000,0.000000
1669019947.57545114,0.00300080,0.00051205,0.00000382,5296.00000000,0.00487581,0.000000,0.000000
